,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
2017-01-08,BTC,ETH,XRP,LTC,XMR,ETC,DASH,REP,MAID,STEEM,XEM,ICN,FCT,DOGE,WAVES,ZEC,DGD,XLM,LSK,USDT,EDC,ARDR,GAME,SCN,BTS,BCN,EMC,NLG,SDC,SC,GNT,SJCX,NEO,XAUR,NXT,SNGLS,STRAT,IOC,PPC,XCP,LMC,RBY,YBC,SYS,BTCD,BCY,POT,NMC,AMP,YOC,DCR,DGB,GCR,GBYTE,NAV,SIB,SLR,BLK,NXS,GRC,CLAM,AEON,ROUND,VSL,LKK,OMNI,TIPS,VASH,SBD,VRS,EAC,MONA,EXP,VTC,AUR,NVC,CURE,RADS,XPM,BURST,BAY,FTC,CLOAK,CRB,BBR,ADZ,VIA,NXC,TRUMP,VRC,XDN,QORA,XHI,GLC,XVC,NAUT,MEC,ADCN,NOTE,GAM,FLDC,DBIC,LBC,OK,PIVX,IFC,ZCC,FLO,COVAL,RISE,BELA,BTM,DMD,SLS,BOST,XZC,RIC,UBQ,BLOCK,RVR,SAC,XCN,EFL,DGC,XMY,GB,APC,IXC,NSR,VTR,UNO,UNC,WBB,HTC,XSI,HUC,HZ,MAZA,TAG,SRC,ZCL,PINK,POST,MAX,EL,SWING,NOBL,BITCNY,ATX,VTA,CPC,ATOM,BITUSD,XWC,STS,C2,BITS,MED,XMG,SHIFT,XST,QBK,WEX,RC,PSB,DOT,SYNX,BERN,TRK,UNIT,ARC,SLING,ZYD,KRB,CREVA,MANNA,BITSILVER,VIP,8BIT,PXI,YASH,AGRS,UNITY,QWARK,SCOT,FAIR,BPC,ION,FC2,MOON,USNBT,RDD,XSD,MINT,ENRG,BLOCKPAY,QRK,PDC,PLS,BRK
2017-01-15,BTC,ETH,XRP,LTC,XMR,ETC,DASH,MAID,REP,XEM,STEEM,ICN,FCT,WAVES,DOGE,ZEC,DGD,XLM,LSK,USDT,ARDR,SDC,GNT,GAME,BTS,SCN,EDC,SC,XAUR,BCN,NLG,EMC,SNGLS,SJCX,NEO,PPC,NXT,1ST,XCP,STRAT,RBY,LMC,IOC,BCY,BTCD,YBC,SYS,AMP,AGRS,POT,DCR,NXS,YOC,NMC,TRUMP,NAV,GCR,DGB,BLK,SIB,SLR,GBYTE,GRC,CLAM,CRB,AEON,LKK,QWARK,VSL,ROUND,SCOT,OMNI,EXP,SBD,MONA,LBC,RADS,VASH,VTC,AUR,BURST,BAY,CURE,XPM,EAC,CLOAK,XDN,NVC,FTC,ADZ,XZC,VRS,NXC,VRC,FC2,VIA,PIVX,BBR,XVC,XHI,NAUT,QORA,GLC,SLS,ENRG,FLDC,JUP,NSR,NOTE,RISE,ADCN,FLO,PUT,ERC,ZCL,OBITS,QRK,IFC,VTR,BLOCK,DBIC,BELA,COVAL,ZCC,RVR,BTM,RIC,PDC,BASH,BOST,XMY,HTC,UBQ,SAC,HZ,WBB,UNO,PEPECASH,APC,XCN,EMC2,DONU,CANN,SEQ,ATX,MAZA,HUC,PINK,JWL,EGC,POST,NOBL,FST,SWING,XBC,SPR,CPC,XMG,USNBT,BITCNY,MAX,ABY,BITUSD,C2,BYC,QBK,XTO,WEX,BLU,QTL,NET,CCN,DOT,BITB,TRK,INFX,BTSR,ZYD,DRACO,CREVA,CSH,LIR,YASH,CALC,UNITY,TIPS,FAIR,XSD,BRX,RDD,BLOCKPAY,MINT,JINN,BRK,BPC,HKG,MEC,SFT,PLS,DMD
2017-01-22,BTC,ETH,XRP,LTC,XMR,ETC,DASH,MAID,REP,STEEM,ICN,XEM,FCT,WAVES,DOGE,ZEC,GNT,DGD,XLM,LSK,EDC,SJCX,NLG,STRAT,EMC,PPC,1ST,SCN,IOC,NXT,NEO,BCY,RBY,BTCD,XCP,SYS,GOLOS,AMP,POT,YBC,NXS,GBYTE,NMC,DCR,NXC,SLR,SIB,NAV,GRC,BLK,DGB,CRB,CLAM,GCR,QWARK,YOC,AEON,VSL,LKK,CURE,XZC,BAY,OMNI,RADS,VRS,ROUND,TRUMP,SBD,MONA,EXP,VTC,VASH,ADZ,BURST,LBC,FAIR,LMC,NVC,BBR,ARC,TIPS,FC2,EAC,XPM,FTC,CLOAK,VIA,RDD,QORA,XDN,BLOCKPAY,VRC,XHI,JUP,BCC,FLDC,NAUT,XVC,ENRG,PIVX,UBQ,BRK,DMD,GLC,ZCL,PUT,VTR,SFT,ADCN,MEC,BRX,SAC,FLO,NSR,RISE,START,IFC,COVAL,OK,DBIC,ERC,BELA,BTM,GB,ZCC,RVR,XMY,RIC,BASH,HUC,PEPECASH,UNO,HZ,SHORTY,XVG,POST,EMC2,APC,DONU,HTC,EFL,XCN,EGC,CANN,UNC,VIDZ,CPC,GRS,USNBT,BITCNY,TAG,ABY,XMG,DOPE,LOG,ATX,BRIT,SHIFT,CDN,SWING,C2,XWC,TRK,BITS,MUE,TRC,FST,WEX,PASC,QTL,SYNX,BLITZ,THC,BITB,INFX,ARCH,ABN,CC,XST,SPHR,REE,PTC,DOT,BIGUP,GEO,BTA,DRACO,KR,BIP,UNIT,KRB,USDT,ARDR,SDC,GAME,BTS,SC,XAUR,BCN,SNGLS
2017-01-29,BTC,ETH,XRP,LTC,XMR,ETC,DASH,MAID,REP,XEM,STEEM,ICN,FCT,GNT,WAVES,DOGE,ZEC,ARDR,DGD,LSK,XLM,USDT,GAME,BTS,BCN,STRAT,SDC,NLG,SNGLS,1ST,BCY,SC,XCP,EDC,EMC,BTCD,SJCX,DCR,XAUR,NEO,PPC,GOLOS,NXT,IOC,GBYTE,RBY,SYS,NXS,PASC,YBC,POT,LMC,AMP,AGRS,NXC,NMC,SCN,SIB,CRB,GRC,BLK,SLR,NAV,UNITY,GCR,DGB,VSL,CLAM,XZC,AEON,EXP,BBR,LKK,BAY,VTC,CURE,OMNI,LBC,ADZ,RADS,BURST,YOC,SBD,VASH,VRS,MONA,TRUMP,AUR,QORA,XHI,BCC,VIA,EAC,XPM,NVC,FTC,CLOAK,NAUT,VRC,PIVX,BLOCKPAY,BRX,XVC,SLS,DMD,PUT,HKG,XDN,XSPEC,FLDC,JUP,ROUND,NSR,RDD,NOTE,ADCN,FLO,GLC,PEPECASH,BTM,MEC,ZCL,DBIC,ARC,ENRG,PDC,BRK,BELA,OBITS,START,WBB,HUC,VIDZ,VTR,JWL,OK,COVAL,J,IFC,WDC,ERC,BOST,RIC,ZCC,XMY,ZET,EMC2,ATX,RVR,SAC,SEQ,CANN,HZ,NOBL,CRW,DONU,MI,UNO,PINK,EFL,GRS,SHIFT,POST,EGC,XCN,MAZA,VLT,XBC,ORB,FCN,SYNX,TAG,SNRG,BITCNY,I0C,C2,XMG,CPC,USNBT,BITS,RBIES,LUNA,BITUSD,IXC,QBK,MUE,WEX,INFX,TRC,CCN,QTL,BLITZ,SXC,STS,ABN,MOIN,BERN,TRK,VRM,BITBTC
2017-02-05,BTC,ETH,XRP,LTC,XMR,ETC,DASH,MAID,XEM,REP,ICN,STEEM,FCT,USDT,GNT,ZEC,DOGE,WAVES,DGD,ARDR,GAME,LSK,XLM,DCR,KMD,SDC,BCN,BTS,SC,NLG,BCY,XAUR,STRAT,SNGLS,GOLOS,BTCD,GBYTE,SYS,XCP,EDC,EMC,NXT,1ST,PPC,SJCX,NEO,RBY,IOC,CRB,NXS,LMC,AGRS,NXC,POT,YBC,AMP,NMC,BBR,SCN,SLR,PASC,HEAT,UNITY,GRC,NAV,BLK,ADZ,QWARK,AEON,VSL,BCC,DGB,VIDZ,GCR,SIB,NAUT,CLAM,EXP,RADS,OMNI,XVC,VRS,HKG,LKK,BURST,CURE,VTC,BAY,INCNT,VRC,XZC,FAIR,LBC,VASH,SBD,YOC,VIA,AUR,SCOT,XHI,QORA,PEPECASH,CLOAK,XPM,NOTE,NVC,EAC,DBIC,TRUMP,CAGE,XDN,PIVX,NSR,BLOCKPAY,SFT,FLO,FLDC,OK,ARC,VTR,DMD,BRK,JUP,GLC,BELA,PUT,XMY,ENRG,BTM,MEC,HUC,XSPEC,FTC,ADCN,GRS,ZCL,RVR,JWL,SLS,SAC,COVAL,RIC,START,WDC,ZET,BRX,DONU,IFC,GB,ZCC,HZ,XBC,PINK,EMC2,ATX,UNO,NOBL,SHIFT,EFL,DGC,BTA,HTC,POST,SEQ,VLT,UNC,LOG,CANN,BITS,CRW,XMG,SNRG,EGC,ORB,SRC,IXC,BITCNY,XCN,SPR,USNBT,QTL,C2,THC,CPC,QBK,VLTC,BITUSD,TRC,FCN,SYNX,XST,MUE,BSD,MOIN,WEX,DRS,CNO,DSH,VRM,TRUST
2017-02-12,BTC,ETH,XRP,LTC,XMR,DASH,ETC,MAID,XEM,REP,ICN,STEEM,FCT,WAVES,USDT,DOGE,GNT,ZEC,ARDR,DGD,LSK,GAME,XLM,BCY,KMD,SDC,BTS,BCN,DCR,SC,XCP,BTCD,NXT,SNGLS,XAUR,STRAT,NLG,EMC,PPC,1ST,GBYTE,EDC,GOLOS,SJCX,SYS,NEO,RBY,IOC,NXC,POT,NXS,YBC,AMP,SLR,BCC,NMC,SCN,CRB,GRC,BLK,UNITY,BBR,NAV,HEAT,XZC,PASC,ADZ,UBQ,OMNI,QWARK,DGB,LMC,SIB,CLAM,AEON,NAUT,BAY,VIDZ,GCR,EXP,VTC,VRS,LKK,CURE,RADS,PEPECASH,BURST,MONA,PIVX,VASH,LBC,VRC,SBD,FAIR,INCNT,YOC,NVC,WCT,XVC,FTC,VIA,AUR,CLOAK,EAC,QORA,XPM,DBIC,BLOCKPAY,XDN,OK,NOTE,BELA,FLDC,XHI,TRUMP,OBITS,WBB,NSR,GAM,ENRG,DMD,FLO,ZCL,JUP,BTM,HKG,GLC,ROUND,PUT,SLS,HUC,RIC,IFC,SHIFT,COVAL,RVR,XMY,VTR,J,GRS,ZET,WDC,START,JWL,DONU,XBC,ICOO,ZCC,EMC2,TRIG,HZ,UNO,NOBL,ADCN,PINK,CANN,SAC,EFL,SEQ,VLT,HTC,ATX,JNS,DGC,XMG,APC,2GIVE,POST,SNRG,BITS,DEM,EGC,XCN,BTA,QTL,BITCNY,C2,ORB,SXC,STS,ABY,IXC,SYNX,CPC,QBK,BITUSD,BLITZ,PSB,MOIN,MUE,DSH,TRC,WEX,TRUST,XST,XWC,SPHR,BSD,BYC,PTC
2017-02-19,BTC,ETH,XRP,LTC,XMR,DASH,ETC,MAID,XEM,REP,ICN,FCT,STEEM,USDT,WAVES,GNT,DOGE,ZEC,DGD,ARDR,XLM,LSK,GAME,KMD,SDC,BTS,BCY,BCN,XCP,SNGLS,SC,EMC,XAUR,GBYTE,POT,YBC,BCC,NMC,AMP,SLR,LMC,GRC,BLK,QWARK,NAV,SIB,GCR,VSL,DGB,AEON,XZC,CLAM,OMNI,PEPECASH,VRS,BBR,ADZ,BURST,PASC,BAY,VTC,UBQ,LKK,NAUT,EXP,RADS,CURE,MONA,PIVX,INCNT,VASH,SBD,BLOCKPAY,LBC,DBIC,BELA,AUR,CLOAK,FTC,NVC,VRC,YOC,VIA,DONU,QORA,EAC,XVC,XPM,XDN,OK,NOTE,FLDC,SFT,CSC,TRUMP,WCT,JUP,XHI,OBITS,GAM,HKG,ION,FLO,WBB,GLC,PDC,ENRG,DMD,VIDZ,BTM,NSR,MEC,ADCN,XSPEC,AC,ZCL,RIC,SHIFT,COVAL,SLS,IFC,VLT,PUT,HUC,ROUND,XMY,ZET,TRIG,WDC,START,RVR,XBC,EMC2,VTR,GRS,PLS,ZCC,UNO,PINK,HMP,SEQ,HZ,EGC,SAC,EFL,NOBL,POST,XMG,MUE,DGC,XCN,UNC,BITCNY,ORB,PSB,QTL,XTO,SYNX,JNS,GEO,FLY,USNBT,QBK,DRS,POSW,EL,C2,VLTC,CPC,BITUSD,BTA,BYC,BSD,DEM,WEX,TRC,PTC,TRUST,MOIN,KUSH,ZYD,BTSR,BUCKS,DCR,BTCD,NXT,STRAT,NLG,PPC,1ST,EDC,GOLOS,SJCX,SYS,NEO,RBY,IOC,NXC,NXS,SCN
2017-02-26,BTC,ETH,XRP,DASH,LTC,XMR,ETC,MAID,XEM,REP,ICN,STEEM,FCT,USDT,ZEC,DOGE,WAVES,GNT,DGD,ARDR,GBYTE,XAUR,SNGLS,XCP,SJCX,STRAT,SC,EMC,PPC,NXT,BCY,IOC,NLG,BTCD,1ST,NEO,RBY,SYS,EDC,BCC,NXS,NXC,NMC,POT,SLR,GOLOS,AMP,ION,OMNI,BAY,BURST,ADZ,RADS,PIVX,NAUT,VTC,LKK,PASC,INCNT,MONA,DBIC,CURE,EXP,SFT,AUR,SBD,LBC,VRC,YOC,BLOCKPAY,NVC,FTC,XDN,MINT,EAC,FLO,QORA,VIA,XPM,DONU,CLOAK,XVC,BTM,NOTE,HKG,XHI,TRUMP,FLDC,WBB,SHIFT,OK,RDD,JUP,ENRG,GAM,GLC,WCT,VTR,NSR,PUT,XSPEC,HUC,COVAL,BRK,RIC,AC,SLS,UNO,ZCL,XBC,IFC,START,SEQ,WDC,XMY,EMC2,VIDZ,ZCC,GRS,PINK,RISE,VLT,RVR,EFL,SAC,HZ,GB,ERC,JNS,SNRG,POST,CRW,KUSH,XMG,RBT,ORB,UNC,XTO,BITS,EGC,XST,BITCNY,QTL,CPC,HTC,C2,MOIN,CBX,XCN,QBK,MUE,TRC,BITUSD,WEX,RBIES,BSD,PTC,BLITZ,DSH,MAR,BTA,POSW,TRUST,SPHR,DEM,CCN,TX,VRM,SLG,XCI,KRB,CNT,ATOM,XLM,LSK,GAME,KMD,SDC,BTS,BCN,YBC,LMC,GRC,BLK,QWARK,NAV,SIB,GCR,VSL,DGB,AEON,XZC,CLAM,PEPECASH,VRS,BBR,UBQ,VASH,BELA,CSC
2017-03-05,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,MAID,REP,ZEC,ICN,FCT,USDT,STEEM,WAVES,DOGE,DGD,GNT,GAME,ARDR,LSK,XLM,BCN,PPC,SDC,STRAT,KMD,BTS,XAUR,SNGLS,NXT,SC,DCR,BCY,SJCX,XCP,IOC,NLG,EMC,GBYTE,1ST,NEO,RBY,SYS,BTCD,NMC,BCC,TIME,NXS,POT,EDC,YBC,SLR,CRB,NXC,AMP,GOLOS,XZC,BLK,LMC,ION,UNITY,PIVX,VRS,NAV,GRC,SIB,BBR,DBIC,MONA,CLAM,OMNI,DGB,BURST,RADS,FAIR,NVC,BAY,PEPECASH,UBQ,EXP,LKK,AUR,ADZ,GCR,VTC,VASH,INCNT,CURE,CLOAK,PASC,BELA,NAUT,SBD,XHI,LBC,VRC,XDN,QORA,DONU,CNT,XPM,BLOCK,EAC,VIA,FTC,BLOCKPAY,PUT,ROUND,SFT,YOC,ZCL,XVC,HKG,FLO,TRUMP,OBITS,SHIFT,JUP,ENRG,GLC,BTM,FLDC,NOTE,WBB,OK,VTR,AC,CSC,COVAL,MEC,UNO,VIDZ,WCT,J,TRIG,NSR,SPR,SEQ,SLS,RIC,HUC,XBC,BOST,XMY,JNS,PINK,ZET,ZCC,RVR,WDC,VLTC,GRS,APC,PRC,FC2,START,EMC2,XSPEC,EFL,NOBL,CANN,SNRG,POST,UNIBURST,GB,MUE,UNC,LOG,ORB,I0C,XMG,CDN,QTL,BITS,EGC,BITCNY,KUSH,KOBO,SAC,USNBT,QBK,MOIN,C2,PTC,DSH,XST,PSB,POSW,WEX,DRS,BITUSD,FLY,BSD,IXC,RBT,CBX,BLITZ,TRUST
2017-03-12,BTC,ETH,DASH,XMR,XRP,LTC,ETC,XEM,REP,MAID,USDT,ZEC,FCT,ICN,WAVES,DOGE,DGD,SDC,GNT,DCR,STEEM,ARDR,GAME,XLM,LSK,PPC,BCY,BCC,BTS,EMC,STRAT,BCN,SC,KMD,YBC,AMP,POT,NXC,CLOAK,PIVX,CRB,VASH,SLR,BLK,NAV,VRS,LMC,SIB,AEON,EDC,ION,GRC,UNITY,DGB,BBR,CLAM,MONA,OMNI,BELA,RADS,NVC,EXP,BURST,BAY,GOLOS,DBIC,UBQ,LKK,AUR,GCR,PEPECASH,VTC,CURE,NAUT,PASC,INCNT,SBD,EAC,ADZ,LBC,VRC,BRX,FTC,RDD,XPM,DONU,ZCL,XDN,HKG,BPC,VIA,XVC,XHI,SFT,ARC,OK,OBITS,SWT,YOC,SEQ,BTM,FLO,QORA,SHIFT,HUC,FLDC,TIPS,NOTE,GLC,WBB,WDC,CNT,DMD,ENRG,VTR,TRUMP,COVAL,MEC,PUT,WCT,SPR,JUP,GAM,AC,CSC,BOST,CRW,IFC,NSR,RIC,UNO,NANO,ZCC,XMY,JNS,ICOO,EMC2,GRS,CANN,ZET,NOBL,XBC,XSPEC,MUE,PINK,APC,VLTC,VIDZ,FC2,QRK,RVR,DGC,HMP,HZ,PRC,EFL,VLT,UNC,SNRG,UNIBURST,XMG,POST,START,LOG,BITS,SWING,ORB,QTL,DSH,MAX,RBIES,TAG,I0C,SRC,BITCNY,CDN,MOJO,USNBT,XST,RBT,BSD,BITZ,XAUR,SNGLS,NXT,SJCX,XCP,IOC,NLG,GBYTE,1ST,NEO,RBY,SYS,BTCD,NMC,TIME,NXS,XZC,FAIR
